,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id,labels
10,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2025-04-14 22:56:12,2025-04-14 22:51:04,868.0,6.0,10.0,10.0,19.0,9.0,25.0,415.0,2025-02-19 11:29:46,1.7.0,,,6.0,5.0,15,True,3,-1.0,,
11,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2025-05-15 13:48:16,2025-05-15 13:44:04,835.0,15.0,33.0,8.0,144.0,32.0,44.0,271.0,,,,,,21.0,15,True,1,,,
12,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2025-04-08 19:17:57,2025-01-02 20:48:26,1872.0,,32.0,21.0,15.0,26.0,20.0,392.0,,,,,,10.0,14,True,2,,,
13,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2025-02-28 21:40:12,2025-02-28 21:36:57,306.0,4.0,63.0,7.0,127.0,19.0,24.0,245.0,,,283.0,94.0,1.0,26.0,14,True,1,-2.0,,
14,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2025-05-12 08:53:10,2025-05-12 04:43:07,627.0,30.0,43.0,13.0,194.0,21.0,66.0,91.0,,,,,,34.0,14,True,3,,,
15,SMT Lean,ufmg-smite/lean-smt,package,Tactics for discharging Lean goals into SMT solvers.,https://github.com/ufmg-smite/lean-smt,https://github.com/ufmg-smite/lean-smt,Apache-2.0,2021-11-23 20:54:14,2025-05-14 22:05:24,2025-05-14 22:05:24,159.0,13.0,22.0,8.0,162.0,8.0,12.0,179.0,,,,,,9.0,13,True,2,2.0,,
16,lean4web,leanprover-community/lean4web,tool,Web editor.,https://github.com/leanprover-community/lean4web,https://live.lean-lang.org/,Apache-2.0,2022-10-25 08:49:35,2025-04-11 08:37:09,2025-04-11 08:37:09,390.0,40.0,32.0,9.0,14.0,9.0,40.0,89.0,,,,,,10.0,13,True,3,,,
17,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2024-10-14 11:24:51,2024-10-14 11:24:33,1085.0,,94.0,10.0,104.0,39.0,13.0,179.0,,,,,,80.0,12,True,2,,,
18,Mathematics in Lean,leanprover-community/mathematics_in_lean,tutorial,Note that there are many parts of the documentation at leanprover-community.github.io that have not been updated.,https://github.com/leanprover-community/mathematics_in_lean,https://leanprover-community.github.io/mathematics_in_lean/,,2020-04-25 01:10:56,2025-05-05 23:59:49,2025-05-05 23:59:45,98.0,11.0,229.0,14.0,19.0,,,335.0,,,,,,3.0,11,True,2,1.0,,
19,quote4,leanprover-community/quote4,core,"Intuitive, type-safe expression quotations for Lean 4.",https://github.com/leanprover-community/quote4,https://github.com/leanprover-community/quote4,Apache-2.0,2021-05-08 19:00:07,2025-05-02 21:39:39,2025-05-02 21:38:05,192.0,13.0,14.0,5.0,59.0,14.0,9.0,85.0,,,,,,9.0,11,True,3,,,
20,Lean Math Workshop,yuma-mizuno/lean-math-workshop,sample,Materials for a workshop held in Japan.,https://github.com/yuma-mizuno/lean-math-workshop,https://github.com/yuma-mizuno/lean-math-workshop,Apache-2.0,2023-05-30 10:58:24,2024-07-13 20:09:41,2024-07-13 20:09:40,210.0,,22.0,7.0,29.0,2.0,12.0,79.0,,,,,,5.0,10,True,1,,,['ja']
